image_id,image_path,device_type,field_name,field_label,manual_value,ocr_value,quality_tags,confidence,is_correct,error_type,error_reason,review_priority,review_score,ocr_engine
ENG-0016,data/images/ENG-0016.jpg,龙门吊,date,日期,2026-06-17,2026-06-17,occlusion,0.8824,True,完全正确,识别正确,低,8,simulated
ENG-0017,data/images/ENG-0017.jpg,堆场口,qc_id,桥吊编号,QC-04,QC-04,noise,0.9692,True,完全正确,识别正确,低,0,simulated
ENG-0017,data/images/ENG-0017.jpg,堆场口,rtg_id,龙门吊编号,RTG-12,RTG-12,noise,0.9113,True,完全正确,识别正确,低,0,simulated
ENG-0017,data/images/ENG-0017.jpg,堆场口,yard_gate,堆场口,YARD-H8,YARD-H8,noise,0.9699,True,完全正确,识别正确,低,0,simulated
ENG-0017,data/images/ENG-0017.jpg,堆场口,work_area,作业区域,B-15,B-15,noise,0.962,True,完全正确,识别正确,低,0,simulated
ENG-0017,data/images/ENG-0017.jpg,堆场口,equipment_status,设备状态,停用,停用,noise,0.8736,True,完全正确,识别正确,低,0,simulated
ENG-0017,data/images/ENG-0017.jpg,堆场口,date,日期,2026-06-18,2026-06-18,noise,0.872,True,完全正确,识别正确,低,0,simulated
ENG-0018,data/images/ENG-0018.jpg,龙门吊,qc_id,桥吊编号,QC-31,QC-3I,occlusion|noise,0.4831,False,数字识别错误,遮挡覆盖了部分关键字段；噪声干扰了字符轮廓；关键编号字段未通过格式规则校验；数字与相似字符混淆，例如 0/O、3/8、1/I,高,100,simulated
ENG-0018,data/images/ENG-0018.jpg,龙门吊,rtg_id,龙门吊编号,RTG-03,RTG-03,occlusion|noise,0.8999,True,完全正确,识别正确,低,23,simulated
ENG-0018,data/images/ENG-0018.jpg,龙门吊,yard_gate,堆场口,YARD-F1,,occlusion|noise,0.1159,False,字段缺失,遮挡覆盖了部分关键字段；噪声干扰了字符轮廓；关键编号字段未通过格式规则校验；字段标签或字段值未被完整识别,高,100,simulated
ENG-0018,data/images/ENG-0018.jpg,龙门吊,work_area,作业区域,C-02,C-02,occlusion|noise,0.9469,True,完全正确,识别正确,低,23,simulated
ENG-0018,data/images/ENG-0018.jpg,龙门吊,equipment_status,设备状态,待检,待检,occlusion|noise,0.9644,True,完全正确,识别正确,低,23,simulated
ENG-0018,data/images/ENG-0018.jpg,龙门吊,date,日期,2026-06-19,2026-06-19,occlusion|noise,0.8755,True,完全正确,识别正确,低,23,simulated
ENG-0019,data/images/ENG-0019.jpg,堆场口,qc_id,桥吊编号,QC-23,QC-23,,0.8686,True,完全正确,识别正确,低,0,simulated
ENG-0019,data/images/ENG-0019.jpg,堆场口,rtg_id,龙门吊编号,RTG-05,RTG-05,,0.9498,True,完全正确,识别正确,低,0,simulated
ENG-0019,data/images/ENG-0019.jpg,堆场口,yard_gate,堆场口,YARD-H9,YARD-H9,,0.9366,True,完全正确,识别正确,低,0,simulated
ENG-0019,data/images/ENG-0019.jpg,堆场口,work_area,作业区域,C-19,C-19,,0.931,True,完全正确,识别正确,低,0,simulated
ENG-0019,data/images/ENG-0019.jpg,堆场口,equipment_status,设备状态,停用,停用,,0.9724,True,完全正确,识别正确,低,0,simulated
ENG-0019,data/images/ENG-0019.jpg,堆场口,date,日期,2026-06-20,2026-06-20,,0.8858,True,完全正确,识别正确,低,0,simulated
ENG-0020,data/images/ENG-0020.jpg,桥吊,qc_id,桥吊编号,QC-25,QC-25,small_font,0.9052,True,完全正确,识别正确,低,0,simulated
ENG-0020,data/images/ENG-0020.jpg,桥吊,rtg_id,龙门吊编号,RTG-25,RTG-25,small_font,0.9789,True,完全正确,识别正确,低,0,simulated
ENG-0020,data/images/ENG-0020.jpg,桥吊,yard_gate,堆场口,YARD-B5,YARD-B5,small_font,0.8635,True,完全正确,识别正确,低,0,simulated
ENG-0020,data/images/ENG-0020.jpg,桥吊,work_area,作业区域,A-04,A-04,small_font,0.9183,True,完全正确,识别正确,低,0,simulated
ENG-0020,data/images/ENG-0020.jpg,桥吊,equipment_status,设备状态,待检,待检,small_font,0.9633,True,完全正确,识别正确,低,0,simulated
ENG-0020,data/images/ENG-0020.jpg,桥吊,date,日期,2026-06-21,,small_font,0.2919,False,字段缺失,字体过小导致编号细节难以分辨；关键编号字段未通过格式规则校验；字段标签或字段值未被完整识别,高,85,simulated
ENG-0021,data/images/ENG-0021.jpg,龙门吊,qc_id,桥吊编号,QC-15,QC-15,,0.9722,True,完全正确,识别正确,低,0,simulated
ENG-0021,data/images/ENG-0021.jpg,龙门吊,rtg_id,龙门吊编号,RTG-25,RTG-25,,0.9178,True,完全正确,识别正确,低,0,simulated
ENG-0021,data/images/ENG-0021.jpg,龙门吊,yard_gate,堆场口,YARD-F4,YARD-F4,,0.9539,True,完全正确,识别正确,低,0,simulated
ENG-0021,data/images/ENG-0021.jpg,龙门吊,work_area,作业区域,C-03,C-03,,0.8749,True,完全正确,识别正确,低,0,simulated
ENG-0021,data/images/ENG-0021.jpg,龙门吊,equipment_status,设备状态,停用,停用,,0.8637,True,完全正确,识别正确,低,0,simulated
ENG-0021,data/images/ENG-0021.jpg,龙门吊,date,日期,2026-06-22,2026-06-22,,0.9448,True,完全正确,识别正确,低,0,simulated
ENG-0022,data/images/ENG-0022.jpg,混合作业牌,qc_id,桥吊编号,QC-27,QC-27,occlusion,0.8931,True,完全正确,识别正确,低,8,simulated
ENG-0022,data/images/ENG-0022.jpg,混合作业牌,rtg_id,龙门吊编号,RTG-04,RTG-04,occlusion,0.8793,True,完全正确,识别正确,低,8,simulated
ENG-0022,data/images/ENG-0022.jpg,混合作业牌,yard_gate,堆场口,YARD-E1,YARD-E1,occlusion,0.9622,True,完全正确,识别正确,低,8,simulated
ENG-0022,data/images/ENG-0022.jpg,混合作业牌,work_area,作业区域,A-02,,occlusion,0.3289,False,字段缺失,遮挡覆盖了部分关键字段；关键编号字段未通过格式规则校验；字段标签或字段值未被完整识别,高,93,simulated
ENG-0022,data/images/ENG-0022.jpg,混合作业牌,equipment_status,设备状态,正常,正常,occlusion,0.96,True,完全正确,识别正确,低,8,simulated
ENG-0022,data/images/ENG-0022.jpg,混合作业牌,date,日期,2026-06-23,2026-06-23,occlusion,0.9615,True,完全正确,识别正确,低,8,simulated
ENG-0023,data/images/ENG-0023.jpg,龙门吊,qc_id,桥吊编号,QC-36,QC-36,complex_bg|low_light,0.9502,True,完全正确,识别正确,低,8,simulated
ENG-0023,data/images/ENG-0023.jpg,龙门吊,rtg_id,龙门吊编号,RTG-21,RTG-21,complex_bg|low_light,0.9307,True,完全正确,识别正确,低,8,simulated
ENG-0023,data/images/ENG-0023.jpg,龙门吊,yard_gate,堆场口,YARD-E5,YARD-E5,complex_bg|low_light,0.8744,True,完全正确,识别正确,低,8,simulated
ENG-0023,data/images/ENG-0023.jpg,龙门吊,work_area,作业区域,C-14,C-I4,complex_bg|low_light,0.7407,False,数字识别错误,复杂背景干扰文本检测；低亮度降低了文字与背景对比度；关键编号字段未通过格式规则校验；数字与相似字符混淆，例如 0/O、3/8、1/I,高,75,simulated
ENG-0023,data/images/ENG-0023.jpg,龙门吊,equipment_status,设备状态,停用,停用,complex_bg|low_light,0.8715,True,完全正确,识别正确,低,8,simulated
ENG-0023,data/images/ENG-0023.jpg,龙门吊,date,日期,2026-06-24,2026-06-24,complex_bg|low_light,0.9025,True,完全正确,识别正确,低,8,simulated
ENG-0024,data/images/ENG-0024.jpg,堆场口,qc_id,桥吊编号,QC-04,QC-04,,0.8936,True,完全正确,识别正确,低,0,simulated
ENG-0024,data/images/ENG-0024.jpg,堆场口,rtg_id,龙门吊编号,RTG-22,RTG-22,,0.9522,True,完全正确,识别正确,低,0,simulated
ENG-0024,data/images/ENG-0024.jpg,堆场口,yard_gate,堆场口,YARD-B9,YARD-B9,,0.9634,True,完全正确,识别正确,低,0,simulated
ENG-0024,data/images/ENG-0024.jpg,堆场口,work_area,作业区域,B-30,B-30,,0.896,True,完全正确,识别正确,低,0,simulated
ENG-0024,data/images/ENG-0024.jpg,堆场口,equipment_status,设备状态,停用,停用,,0.9046,True,完全正确,识别正确,低,0,simulated
ENG-0024,data/images/ENG-0024.jpg,堆场口,date,日期,2026-06-25,2026-06-25,,0.965,True,完全正确,识别正确,低,0,simulated
ENG-0025,data/images/ENG-0025.jpg,堆场口,qc_id,桥吊编号,QC-27,QC-27,small_font|compression,0.8646,True,完全正确,识别正确,低,15,simulated
ENG-0025,data/images/ENG-0025.jpg,堆场口,rtg_id,龙门吊编号,RTG-02,02-RTG,small_font|compression,0.57,False,顺序错误,字体过小导致编号细节难以分辨；压缩失真造成细节丢失；关键编号字段未通过格式规则校验；字符内容接近但读取顺序异常,高,100,simulated
ENG-0025,data/images/ENG-0025.jpg,堆场口,yard_gate,堆场口,YARD-E2,YARD-E2,small_font|compression,0.8664,True,完全正确,识别正确,低,15,simulated
ENG-0025,data/images/ENG-0025.jpg,堆场口,work_area,作业区域,A-04,04-A,small_font|compression,0.7676,False,顺序错误,字体过小导致编号细节难以分辨；压缩失真造成细节丢失；关键编号字段未通过格式规则校验；字符内容接近但读取顺序异常,高,82,simulated
ENG-0025,data/images/ENG-0025.jpg,堆场口,equipment_status,设备状态,维修中,维修中,small_font|compression,0.9225,True,完全正确,识别正确,低,15,simulated
ENG-0025,data/images/ENG-0025.jpg,堆场口,date,日期,2026-06-26,2026-06-26,small_font|compression,0.9207,True,完全正确,识别正确,低,15,simulated
ENG-0026,data/images/ENG-0026.jpg,混合作业牌,qc_id,桥吊编号,QC-12,QC-12,,0.9796,True,完全正确,识别正确,低,0,simulated
ENG-0026,data/images/ENG-0026.jpg,混合作业牌,rtg_id,龙门吊编号,RTG-04,RTG-04,,0.9718,True,完全正确,识别正确,低,0,simulated
ENG-0026,data/images/ENG-0026.jpg,混合作业牌,yard_gate,堆场口,YARD-G6,YARD-G6,,0.9581,True,完全正确,识别正确,低,0,simulated
ENG-0026,data/images/ENG-0026.jpg,混合作业牌,work_area,作业区域,A-20,A-20,,0.8696,True,完全正确,识别正确,低,0,simulated
ENG-0026,data/images/ENG-0026.jpg,混合作业牌,equipment_status,设备状态,维修中,维修中,,0.9255,True,完全正确,识别正确,低,0,simulated
ENG-0026,data/images/ENG-0026.jpg,混合作业牌,date,日期,2026-06-27,2026-06-27,,0.9619,True,完全正确,识别正确,低,0,simulated
ENG-0027,data/images/ENG-0027.jpg,堆场口,qc_id,桥吊编号,QC-14,QC-14,compression,0.9426,True,完全正确,识别正确,低,0,simulated
ENG-0027,data/images/ENG-0027.jpg,堆场口,rtg_id,龙门吊编号,RTG-09,RTG-09,compression,0.9068,True,完全正确,识别正确,低,0,simulated
ENG-0027,data/images/ENG-0027.jpg,堆场口,yard_gate,堆场口,YARD-F2,YARD-F2,compression,0.9308,True,完全正确,识别正确,低,0,simulated
ENG-0027,data/images/ENG-0027.jpg,堆场口,work_area,作业区域,B-10,10-B,compression,0.5126,False,顺序错误,压缩失真造成细节丢失；关键编号字段未通过格式规则校验；字符内容接近但读取顺序异常,高,85,simulated
ENG-0027,data/images/ENG-0027.jpg,堆场口,equipment_status,设备状态,待检,待检,compression,0.8811,True,完全正确,识别正确,低,0,simulated
ENG-0027,data/images/ENG-0027.jpg,堆场口,date,日期,2026-06-28,2026-06-28,compression,0.8839,True,完全正确,识别正确,低,0,simulated
ENG-0028,data/images/ENG-0028.jpg,龙门吊,qc_id,桥吊编号,QC-15,,tilt,0.2757,False,字段缺失,拍摄角度倾斜导致文本基线偏移；关键编号字段未通过格式规则校验；字段标签或字段值未被完整识别,高,100,simulated
ENG-0028,data/images/ENG-0028.jpg,龙门吊,rtg_id,龙门吊编号,RTG-21,RTG-21,tilt,0.9698,True,完全正确,识别正确,低,15,simulated
ENG-0028,data/images/ENG-0028.jpg,龙门吊,yard_gate,堆场口,YARD-F3,,tilt,0.1739,False,字段缺失,拍摄角度倾斜导致文本基线偏移；关键编号字段未通过格式规则校验；字段标签或字段值未被完整识别,高,100,simulated
