image_id,field_name,field_label,ocr_value,confidence,ocr_engine,error_type_hint
ENG-0018,date,日期,2026-06-19,0.8755,simulated,完全正确
ENG-0019,qc_id,桥吊编号,QC-23,0.8686,simulated,完全正确
ENG-0019,rtg_id,龙门吊编号,RTG-05,0.9498,simulated,完全正确
ENG-0019,yard_gate,堆场口,YARD-H9,0.9366,simulated,完全正确
ENG-0019,work_area,作业区域,C-19,0.931,simulated,完全正确
ENG-0019,equipment_status,设备状态,停用,0.9724,simulated,完全正确
ENG-0019,date,日期,2026-06-20,0.8858,simulated,完全正确
ENG-0020,qc_id,桥吊编号,QC-25,0.9052,simulated,完全正确
ENG-0020,rtg_id,龙门吊编号,RTG-25,0.9789,simulated,完全正确
ENG-0020,yard_gate,堆场口,YARD-B5,0.8635,simulated,完全正确
ENG-0020,work_area,作业区域,A-04,0.9183,simulated,完全正确
ENG-0020,equipment_status,设备状态,待检,0.9633,simulated,完全正确
ENG-0020,date,日期,,0.2919,simulated,字段缺失
ENG-0021,qc_id,桥吊编号,QC-15,0.9722,simulated,完全正确
ENG-0021,rtg_id,龙门吊编号,RTG-25,0.9178,simulated,完全正确
ENG-0021,yard_gate,堆场口,YARD-F4,0.9539,simulated,完全正确
ENG-0021,work_area,作业区域,C-03,0.8749,simulated,完全正确
ENG-0021,equipment_status,设备状态,停用,0.8637,simulated,完全正确
ENG-0021,date,日期,2026-06-22,0.9448,simulated,完全正确
ENG-0022,qc_id,桥吊编号,QC-27,0.8931,simulated,完全正确
ENG-0022,rtg_id,龙门吊编号,RTG-04,0.8793,simulated,完全正确
ENG-0022,yard_gate,堆场口,YARD-E1,0.9622,simulated,完全正确
ENG-0022,work_area,作业区域,,0.3289,simulated,字段缺失
ENG-0022,equipment_status,设备状态,正常,0.96,simulated,完全正确
ENG-0022,date,日期,2026-06-23,0.9615,simulated,完全正确
ENG-0023,qc_id,桥吊编号,QC-36,0.9502,simulated,完全正确
ENG-0023,rtg_id,龙门吊编号,RTG-21,0.9307,simulated,完全正确
ENG-0023,yard_gate,堆场口,YARD-E5,0.8744,simulated,完全正确
ENG-0023,work_area,作业区域,C-I4,0.7407,simulated,数字识别错误
ENG-0023,equipment_status,设备状态,停用,0.8715,simulated,完全正确
ENG-0023,date,日期,2026-06-24,0.9025,simulated,完全正确
ENG-0024,qc_id,桥吊编号,QC-04,0.8936,simulated,完全正确
ENG-0024,rtg_id,龙门吊编号,RTG-22,0.9522,simulated,完全正确
ENG-0024,yard_gate,堆场口,YARD-B9,0.9634,simulated,完全正确
ENG-0024,work_area,作业区域,B-30,0.896,simulated,完全正确
ENG-0024,equipment_status,设备状态,停用,0.9046,simulated,完全正确
ENG-0024,date,日期,2026-06-25,0.965,simulated,完全正确
ENG-0025,qc_id,桥吊编号,QC-27,0.8646,simulated,完全正确
ENG-0025,rtg_id,龙门吊编号,02-RTG,0.57,simulated,顺序错误
ENG-0025,yard_gate,堆场口,YARD-E2,0.8664,simulated,完全正确
ENG-0025,work_area,作业区域,04-A,0.7676,simulated,顺序错误
ENG-0025,equipment_status,设备状态,维修中,0.9225,simulated,完全正确
ENG-0025,date,日期,2026-06-26,0.9207,simulated,完全正确
ENG-0026,qc_id,桥吊编号,QC-12,0.9796,simulated,完全正确
ENG-0026,rtg_id,龙门吊编号,RTG-04,0.9718,simulated,完全正确
ENG-0026,yard_gate,堆场口,YARD-G6,0.9581,simulated,完全正确
ENG-0026,work_area,作业区域,A-20,0.8696,simulated,完全正确
ENG-0026,equipment_status,设备状态,维修中,0.9255,simulated,完全正确
ENG-0026,date,日期,2026-06-27,0.9619,simulated,完全正确
ENG-0027,qc_id,桥吊编号,QC-14,0.9426,simulated,完全正确
ENG-0027,rtg_id,龙门吊编号,RTG-09,0.9068,simulated,完全正确
ENG-0027,yard_gate,堆场口,YARD-F2,0.9308,simulated,完全正确
ENG-0027,work_area,作业区域,10-B,0.5126,simulated,顺序错误
ENG-0027,equipment_status,设备状态,待检,0.8811,simulated,完全正确
ENG-0027,date,日期,2026-06-28,0.8839,simulated,完全正确
ENG-0028,qc_id,桥吊编号,,0.2757,simulated,字段缺失
ENG-0028,rtg_id,龙门吊编号,RTG-21,0.9698,simulated,完全正确
ENG-0028,yard_gate,堆场口,,0.1739,simulated,字段缺失
ENG-0028,work_area,作业区域,D-06,0.9756,simulated,完全正确
ENG-0028,equipment_status,设备状态,维修中,0.8952,simulated,完全正确
ENG-0028,date,日期,2026-06-29,0.9721,simulated,完全正确
ENG-0029,qc_id,桥吊编号,QC-03,0.8613,simulated,完全正确
ENG-0029,rtg_id,龙门吊编号,RTG-18,0.9822,simulated,完全正确
ENG-0029,yard_gate,堆场口,YARD-A8,0.8945,simulated,完全正确
ENG-0029,work_area,作业区域,B-14,0.9106,simulated,完全正确
ENG-0029,equipment_status,设备状态,正常,0.8747,simulated,完全正确
ENG-0029,date,日期,2026-06-30,0.9757,simulated,完全正确
ENG-0030,qc_id,桥吊编号,QC-33,0.9642,simulated,完全正确
ENG-0030,rtg_id,龙门吊编号,RTG-O4,0.6618,simulated,数字识别错误
ENG-0030,yard_gate,堆场口,YARD-F3,0.5174,simulated,数字识别错误
ENG-0030,work_area,作业区域,D-04,0.8758,simulated,完全正确
ENG-0030,equipment_status,设备状态,维修中,0.9899,simulated,完全正确
ENG-0030,date,日期,2026-06-01,0.9824,simulated,完全正确
ENG-0031,qc_id,桥吊编号,QC-32,0.8865,simulated,完全正确
ENG-0031,rtg_id,龙门吊编号,RTG-21,0.8767,simulated,完全正确
ENG-0031,yard_gate,堆场口,YARD-G7,0.9841,simulated,完全正确
ENG-0031,work_area,作业区域,,0.374,simulated,字段缺失
ENG-0031,equipment_status,设备状态,待检,0.8983,simulated,完全正确
ENG-0031,date,日期,2026-06-02,0.9364,simulated,完全正确
ENG-0032,qc_id,桥吊编号,QC-32,0.946,simulated,完全正确
ENG-0032,rtg_id,龙门吊编号,RTG-12,0.8815,simulated,完全正确
ENG-0032,yard_gate,堆场口,YARD-G4,0.8774,simulated,完全正确
ENG-0032,work_area,作业区域,,0.1517,simulated,漏识别
ENG-0032,equipment_status,设备状态,,0.1317,simulated,漏识别
ENG-0032,date,日期,2026-06-03,0.9106,simulated,完全正确
ENG-0033,qc_id,桥吊编号,QC-33,0.8917,simulated,完全正确
ENG-0033,rtg_id,龙门吊编号,RTG-13,0.9226,simulated,完全正确
ENG-0033,yard_gate,堆场口,Y4RD-E4,0.5432,simulated,字母识别错误
ENG-0033,work_area,作业区域,B-14,0.8619,simulated,完全正确
ENG-0033,equipment_status,设备状态,待检,0.8843,simulated,完全正确
ENG-0033,date,日期,2026-06-04,0.9744,simulated,完全正确
ENG-0034,qc_id,桥吊编号,QC-22,0.916,simulated,完全正确
ENG-0034,rtg_id,龙门吊编号,RTG-22,0.954,simulated,完全正确
ENG-0034,yard_gate,堆场口,YARD-C4,0.8951,simulated,完全正确
ENG-0034,work_area,作业区域,B-27,0.9326,simulated,完全正确
ENG-0034,equipment_status,设备状态,维修中,0.8723,simulated,完全正确
ENG-0034,date,日期,0026-06-05,0.5184,simulated,字母识别错误
ENG-0035,qc_id,桥吊编号,QC-18,0.8985,simulated,完全正确
ENG-0035,rtg_id,龙门吊编号,RTG-13,0.9533,simulated,完全正确
ENG-0035,yard_gate,堆场口,YARD-A6,0.9352,simulated,完全正确
ENG-0035,work_area,作业区域,D-04,0.9628,simulated,完全正确
ENG-0035,equipment_status,设备状态,停用,0.9726,simulated,完全正确
ENG-0035,date,日期,RTG-O2,0.5696,simulated,误识别
ENG-0036,qc_id,桥吊编号,QC-12,0.9878,simulated,完全正确
ENG-0036,rtg_id,龙门吊编号,RTG-05,0.9741,simulated,完全正确
ENG-0036,yard_gate,堆场口,YARD-E2,0.8938,simulated,完全正确
ENG-0036,work_area,作业区域,D-29,0.9738,simulated,完全正确
ENG-0036,equipment_status,设备状态,维修中,0.9498,simulated,完全正确
ENG-0036,date,日期,2026-06-07,0.9855,simulated,完全正确
ENG-0037,qc_id,桥吊编号,QC-15,0.9144,simulated,完全正确
ENG-0037,rtg_id,龙门吊编号,RTG-16,0.8767,simulated,完全正确
ENG-0037,yard_gate,堆场口,YARD-A8,0.9874,simulated,完全正确
ENG-0037,work_area,作业区域,C-01,0.9024,simulated,完全正确
ENG-0037,equipment_status,设备状态,正常,0.9624,simulated,完全正确
ENG-0037,date,日期,,0.2828,simulated,字段缺失
ENG-0038,qc_id,桥吊编号,QC-10,0.8653,simulated,完全正确
ENG-0038,rtg_id,龙门吊编号,RTG-10,0.9709,simulated,完全正确
ENG-0038,yard_gate,堆场口,YARD-A2,0.9485,simulated,完全正确
ENG-0038,work_area,作业区域,C-29,0.885,simulated,完全正确
ENG-0038,equipment_status,设备状态,维修中,0.9318,simulated,完全正确
ENG-0038,date,日期,2026-06-09,0.8642,simulated,完全正确
ENG-0039,qc_id,桥吊编号,QC-19,0.8622,simulated,完全正确
ENG-0039,rtg_id,龙门吊编号,RTG-13,0.9717,simulated,完全正确
ENG-0039,yard_gate,堆场口,YARD-G1,0.9183,simulated,完全正确
ENG-0039,work_area,作业区域,YARD-47,0.4662,simulated,误识别
ENG-0039,equipment_status,设备状态,停用,0.9547,simulated,完全正确
ENG-0039,date,日期,2026-06-10,0.9303,simulated,完全正确
ENG-0040,qc_id,桥吊编号,QC-28,0.9741,simulated,完全正确
ENG-0040,rtg_id,龙门吊编号,RTG-28,0.8638,simulated,完全正确
ENG-0040,yard_gate,堆场口,YARD-C6,0.8948,simulated,完全正确
ENG-0040,work_area,作业区域,C-16,0.9763,simulated,完全正确
ENG-0040,equipment_status,设备状态,待检,0.9329,simulated,完全正确
ENG-0040,date,日期,2026-06-11,0.9167,simulated,完全正确
ENG-0041,qc_id,桥吊编号,QC-08,0.9134,simulated,完全正确
ENG-0041,rtg_id,龙门吊编号,RTG-11,0.8754,simulated,完全正确
ENG-0041,yard_gate,堆场口,G5-YARD,0.5589,simulated,顺序错误
ENG-0041,work_area,作业区域,D-29,0.8991,simulated,完全正确
ENG-0041,equipment_status,设备状态,停用,0.9044,simulated,完全正确
ENG-0041,date,日期,2026-06-12,0.8734,simulated,完全正确
ENG-0042,qc_id,桥吊编号,QC-02,0.8804,simulated,完全正确
ENG-0042,rtg_id,龙门吊编号,,0.1349,simulated,字段缺失
ENG-0042,yard_gate,堆场口,YARD-F9,0.877,simulated,完全正确
ENG-0042,work_area,作业区域,C-16,0.9863,simulated,完全正确
ENG-0042,equipment_status,设备状态,停用,0.882,simulated,完全正确
ENG-0042,date,日期,2026-06-13,0.9856,simulated,完全正确
ENG-0043,qc_id,桥吊编号,QC-10,0.9225,simulated,完全正确
ENG-0043,rtg_id,龙门吊编号,RTG-19,0.9693,simulated,完全正确
ENG-0043,yard_gate,堆场口,YARD-G9,0.878,simulated,完全正确
ENG-0043,work_area,作业区域,0-03,0.7521,simulated,字母识别错误
ENG-0043,equipment_status,设备状态,维修中,0.913,simulated,完全正确
ENG-0043,date,日期,2026-06-14,0.9721,simulated,完全正确
ENG-0044,qc_id,桥吊编号,QC-15,0.9156,simulated,完全正确
ENG-0044,rtg_id,龙门吊编号,23-RTG,0.6891,simulated,顺序错误
ENG-0044,yard_gate,堆场口,YARD-E5,0.9724,simulated,完全正确
ENG-0044,work_area,作业区域,B-04,0.9675,simulated,完全正确
ENG-0044,equipment_status,设备状态,待检,0.9013,simulated,完全正确
ENG-0044,date,日期,,0.113,simulated,漏识别
ENG-0045,qc_id,桥吊编号,QC-16,0.9049,simulated,完全正确
ENG-0045,rtg_id,龙门吊编号,RT6-16,0.721,simulated,字母识别错误
ENG-0045,yard_gate,堆场口,YARD-H1,0.9285,simulated,完全正确
ENG-0045,work_area,作业区域,C-01,0.9807,simulated,完全正确
ENG-0045,equipment_status,设备状态,,0.1737,simulated,漏识别
ENG-0045,date,日期,2026-06-16,0.886,simulated,完全正确
ENG-0046,qc_id,桥吊编号,QC-31,0.9768,simulated,完全正确
ENG-0046,rtg_id,龙门吊编号,RTG-11,0.9736,simulated,完全正确
ENG-0046,yard_gate,堆场口,YARD-G1,0.9674,simulated,完全正确
ENG-0046,work_area,作业区域,D-06,0.8688,simulated,完全正确
ENG-0046,equipment_status,设备状态,维修中,0.9589,simulated,完全正确
ENG-0046,date,日期,2026-06-17,0.9631,simulated,完全正确
ENG-0047,qc_id,桥吊编号,QC-28,0.8655,simulated,完全正确
ENG-0047,rtg_id,龙门吊编号,RTG-19,0.9085,simulated,完全正确
ENG-0047,yard_gate,堆场口,YARD-H3,0.9249,simulated,完全正确
ENG-0047,work_area,作业区域,,0.1139,simulated,字段缺失
ENG-0047,equipment_status,设备状态,停用,0.8611,simulated,完全正确
ENG-0047,date,日期,2026-06-18,0.9524,simulated,完全正确
ENG-0048,qc_id,桥吊编号,OC-28,0.5181,simulated,字母识别错误
ENG-0048,rtg_id,龙门吊编号,RTG-05,0.9424,simulated,完全正确
ENG-0048,yard_gate,堆场口,YARD-A5,0.8641,simulated,完全正确
ENG-0048,work_area,作业区域,D-14,0.891,simulated,完全正确
ENG-0048,equipment_status,设备状态,停用,0.9255,simulated,完全正确
ENG-0048,date,日期,2026-06-19,0.8917,simulated,完全正确
ENG-0049,qc_id,桥吊编号,,0.1859,simulated,字段缺失
ENG-0049,rtg_id,龙门吊编号,RTG-10,0.9623,simulated,完全正确
ENG-0049,yard_gate,堆场口,YARD-D0,0.4808,simulated,数字识别错误
ENG-0049,work_area,作业区域,A-14,0.9254,simulated,完全正确
ENG-0049,equipment_status,设备状态,,0.321,simulated,字段缺失
ENG-0049,date,日期,2026-06-20,0.9307,simulated,完全正确
ENG-0050,qc_id,桥吊编号,03-QC,0.7671,simulated,顺序错误
ENG-0050,rtg_id,龙门吊编号,RTG-24,0.9267,simulated,完全正确
ENG-0050,yard_gate,堆场口,YARD-D6,0.8918,simulated,完全正确
ENG-0050,work_area,作业区域,C-08,0.883,simulated,完全正确
ENG-0050,equipment_status,设备状态,正常,0.9451,simulated,完全正确
ENG-0050,date,日期,2026-06-21,0.9328,simulated,完全正确
ENG-0051,qc_id,桥吊编号,QC-24,0.966,simulated,完全正确
ENG-0051,rtg_id,龙门吊编号,RTG-08,0.8994,simulated,完全正确
ENG-0051,yard_gate,堆场口,QC-B3,0.4155,simulated,误识别
ENG-0051,work_area,作业区域,B-02,0.9692,simulated,完全正确
ENG-0051,equipment_status,设备状态,维修中,0.9084,simulated,完全正确
ENG-0051,date,日期,,0.0851,simulated,字段缺失
ENG-0052,qc_id,桥吊编号,QC-14,0.878,simulated,完全正确
ENG-0052,rtg_id,龙门吊编号,RTG-03,0.9051,simulated,完全正确
ENG-0052,yard_gate,堆场口,YARD-C7,0.9537,simulated,完全正确
ENG-0052,work_area,作业区域,B-26,0.8753,simulated,完全正确
ENG-0052,equipment_status,设备状态,正常,0.9353,simulated,完全正确
ENG-0052,date,日期,2026-06-23,0.928,simulated,完全正确
ENG-0053,qc_id,桥吊编号,QC-34,0.8753,simulated,完全正确
ENG-0053,rtg_id,龙门吊编号,RTG-13,0.9146,simulated,完全正确
ENG-0053,yard_gate,堆场口,YARD-B2,0.9383,simulated,完全正确
ENG-0053,work_area,作业区域,A-12,0.8728,simulated,完全正确
ENG-0053,equipment_status,设备状态,待检,0.9264,simulated,完全正确
ENG-0053,date,日期,2026-06-24,0.883,simulated,完全正确
ENG-0054,qc_id,桥吊编号,QC-02,0.8744,simulated,完全正确
ENG-0054,rtg_id,龙门吊编号,RTG-12,0.8804,simulated,完全正确
ENG-0054,yard_gate,堆场口,YARD-H9,0.9727,simulated,完全正确
ENG-0054,work_area,作业区域,D-02,0.897,simulated,完全正确
ENG-0054,equipment_status,设备状态,待检,0.8864,simulated,完全正确
ENG-0054,date,日期,2026-06-25,0.8664,simulated,完全正确
ENG-0055,qc_id,桥吊编号,QC-01,0.9044,simulated,完全正确
ENG-0055,rtg_id,龙门吊编号,RTG-21,0.9111,simulated,完全正确
ENG-0055,yard_gate,堆场口,YARD-D4,0.8837,simulated,完全正确
ENG-0055,work_area,作业区域,,0.1205,simulated,漏识别
ENG-0055,equipment_status,设备状态,待检,0.8633,simulated,完全正确
ENG-0055,date,日期,2026-06-26,0.9819,simulated,完全正确
ENG-0056,qc_id,桥吊编号,QC-82,0.7491,simulated,数字识别错误
ENG-0056,rtg_id,龙门吊编号,RTG-12,0.9005,simulated,完全正确
ENG-0056,yard_gate,堆场口,YARD-C7,0.9576,simulated,完全正确
ENG-0056,work_area,作业区域,0-03,0.5057,simulated,字母识别错误
ENG-0056,equipment_status,设备状态,,0.2566,simulated,字段缺失
ENG-0056,date,日期,2026-06-27,0.989,simulated,完全正确
ENG-0057,qc_id,桥吊编号,QC-29,0.9441,simulated,完全正确
ENG-0057,rtg_id,龙门吊编号,RTG-26,0.9594,simulated,完全正确
ENG-0057,yard_gate,堆场口,,0.1692,simulated,漏识别
ENG-0057,work_area,作业区域,C-05,0.9151,simulated,完全正确
ENG-0057,equipment_status,设备状态,正常,0.9341,simulated,完全正确
ENG-0057,date,日期,2026-06-28,0.9748,simulated,完全正确
ENG-0058,qc_id,桥吊编号,QC-34,0.8725,simulated,完全正确
ENG-0058,rtg_id,龙门吊编号,RTG-13,0.8969,simulated,完全正确
ENG-0058,yard_gate,堆场口,Y4RD-F1,0.5707,simulated,字母识别错误
ENG-0058,work_area,作业区域,C-02,0.9872,simulated,完全正确
ENG-0058,equipment_status,设备状态,待检,0.875,simulated,完全正确
ENG-0058,date,日期,2026-06-29,0.9384,simulated,完全正确
ENG-0059,qc_id,桥吊编号,QC-21,0.9442,simulated,完全正确
ENG-0059,rtg_id,龙门吊编号,RTG-02,0.9791,simulated,完全正确
ENG-0059,yard_gate,堆场口,YARD-C2,0.8902,simulated,完全正确
ENG-0059,work_area,作业区域,D-20,0.9307,simulated,完全正确
ENG-0059,equipment_status,设备状态,正常,0.9812,simulated,完全正确
ENG-0059,date,日期,2026-06-30,0.9664,simulated,完全正确
ENG-0060,qc_id,桥吊编号,QC-22,0.8626,simulated,完全正确
ENG-0060,rtg_id,龙门吊编号,RTG-24,0.8613,simulated,完全正确
ENG-0060,yard_gate,堆场口,YARD-C1,0.8977,simulated,完全正确
ENG-0060,work_area,作业区域,D-21,0.9619,simulated,完全正确
ENG-0060,equipment_status,设备状态,停用,0.92,simulated,完全正确
ENG-0060,date,日期,2026-06-01,0.9355,simulated,完全正确
ENG-0061,qc_id,桥吊编号,QC-23,0.9328,simulated,完全正确
ENG-0061,rtg_id,龙门吊编号,RTG-10,0.911,simulated,完全正确
ENG-0061,yard_gate,堆场口,YARD-A6,0.7456,simulated,数字识别错误
ENG-0061,work_area,作业区域,A-19,0.9004,simulated,完全正确
ENG-0061,equipment_status,设备状态,正常,0.9157,simulated,完全正确
ENG-0061,date,日期,2026-06-02,0.9034,simulated,完全正确
ENG-0062,qc_id,桥吊编号,QC-27,0.9739,simulated,完全正确
ENG-0062,rtg_id,龙门吊编号,RTG-14,0.8913,simulated,完全正确
ENG-0062,yard_gate,堆场口,YARD-B5,0.9119,simulated,完全正确
ENG-0062,work_area,作业区域,B-11,0.9717,simulated,完全正确
ENG-0062,equipment_status,设备状态,停用,0.9639,simulated,完全正确
ENG-0062,date,日期,2026-06-03,0.8671,simulated,完全正确
ENG-0063,qc_id,桥吊编号,QC-23,0.8707,simulated,完全正确
ENG-0063,rtg_id,龙门吊编号,,0.3054,simulated,字段缺失
ENG-0063,yard_gate,堆场口,YARD-61,0.5291,simulated,字母识别错误
ENG-0063,work_area,作业区域,D-28,0.9756,simulated,完全正确
ENG-0063,equipment_status,设备状态,维修中,0.9806,simulated,完全正确
ENG-0063,date,日期,2026-06-04,0.9578,simulated,完全正确
ENG-0064,qc_id,桥吊编号,,0.1585,simulated,字段缺失
ENG-0064,rtg_id,龙门吊编号,RTG-02,0.9465,simulated,完全正确
ENG-0064,yard_gate,堆场口,YARD-H2,0.9514,simulated,完全正确
